"","Sample","Unique_Sample","order_for_unique_id","treatment","shrubs","pine","block","substrate","start_date","end_date","label","set","incubation","original_substrate_mass_g","deployed_bag_mass_g","bag_mass_g","final_bag_mass_g","final_substrate_g","substrate_mass_difference_g","percent_loss","percent_mass_remaining","DNA_Extraction_ID","copies_DNA_per_g_substrate","DNA_ug_per_g_substrate","ITS_copies_per_ng_DNA","tagNum","pool","notes","scata_ID","copies_fungi","copies_asco","copies_basid","copies_ecto","copies_whiterot","copies_sap_whiterot","copies_sap_other","copies_mycena_clavicularis"
"17","S80","TE2Litter17B",80,"TE",0,0,2,"Litter","6/14/18","11/20/19","green","B",17,1.5016,1.6911,0.1895,0.92,0.7305,0.7711,51.35,48.65,"261",6816755641,68,100444,24,4,"nothing","Jadraas_org_bags4 gITS7_tag_24_ITS4_tag_24",6763317927.5,4038858025.5,2679612826,0,0,1906000755,3025784604.33333,1906000755
"18","S84","C4Litter17B",84,"C",1,1,4,"Litter","6/14/18","11/20/19","green","B",17,1.7731,1.9813,0.2082,0.8,0.5918,1.1813,66.62,33.38,"262",21649369488,141,153351,25,4,"nothing","Jadraas_org_bags4 gITS7_tag_25_ITS4_tag_25",21552567543.1667,10750531997,10666444504.1667,0,0,10485707142,6779341227,10485707142
"19","S87","E1Litter17B",87,"E",0,1,1,"Litter","6/14/18","11/20/19","green","B",17,1.6536,1.8688,0.2152,0.9,0.6848,0.9688,58.59,41.41,"263",5300755245,116,45836,26,4,"nothing","Jadraas_org_bags4 gITS7_tag_26_ITS4_tag_26",5274861397.33333,4349084749.66667,896287048.666667,0,0,140061612.833333,3767194765.5,44220418.8333333
"20","S91","C5Litter17B",91,"C",1,1,5,"Litter","6/14/18","11/20/19","green","B",17,1.5148,1.7065,0.1917,0.82,0.6283,0.8865,58.52,41.48,"264",12850585928,174,73963,29,4,"nothing","Jadraas_org_bags4 gITS7_tag_29_ITS4_tag_29",12673139517.1667,11791536243.6667,755795178.166667,0,0,41995379,9047224568.66667,41995379
"21","S95","C8Litter17B",95,"C",1,1,8,"Litter","6/14/18","11/20/19","green","B",17,1.6241,1.8412,0.2171,0.91,0.6929,0.9312,57.34,42.66,"265",10866472872,167,65124,31,4,"nothing","Jadraas_org_bags4 gITS7_tag_31_ITS4_tag_31",10723609189.1667,9635131542,707452661,0,0,42447159,8800711102,28298106
"22","S99","E2Litter17B",99,"E",0,1,2,"Litter","6/14/18","11/20/19","green","B",17,1.5935,1.8214,0.2279,0.81,0.5821,1.0114,63.47,36.53,"266",7043015434,101,69626,32,4,"nothing","Jadraas_org_bags4 gITS7_tag_32_ITS4_tag_32",7042165260.33333,6929253374.16667,50144197.1666667,0,0,0,5654399119.16667,0
"23","S103","TE5Litter17B",103,"TE",0,0,5,"Litter","6/14/18","11/20/19","green","B",17,1.4938,1.6993,0.2055,0.73,0.5245,0.9693,64.89,35.11,"267",37742172139,179,211122,34,4,"nothing","Jadraas_org_bags4 gITS7_tag_34_ITS4_tag_34",37742016411.5,22084046466.5,15567503073.3333,0,0,14933953005,12716412993.8333,14933953005
"24","S107","TE1Litter17B",107,"TE",0,0,1,"Litter","6/14/18","11/20/19","green","B",17,1.7157,1.9398,0.2241,0.95,0.7259,0.9898,57.69,42.31,"268",9664893374,113,85612,35,4,"brokenseal","Jadraas_org_bags4 gITS7_tag_35_ITS4_tag_35",9659043521.66667,9242955959,333608136.666667,0,0,104245928.833333,8601174392,0
"25","S115","DC5Litter17B",115,"DC",1,0,5,"Litter","6/14/18","11/20/19","green","B",17,1.4111,1.6033,0.1922,0.67,0.4778,0.9333,66.14,33.86,"270",10485881066,149,70292,38,4,"nothing","Jadraas_org_bags4 gITS7_tag_38_ITS4_tag_38",10442637800.8333,9708276034.5,659762165.166667,0,0,224031570,8032378702.5,87042626
"26","S119","T8Litter17B",119,"T",1,0,8,"Litter","6/14/18","11/20/19","green","B",17,1.8471,2.0554,0.2083,1.12,0.9117,0.9354,50.64,49.36,"271",10404793048,110,94658,39,4,"nothing","Jadraas_org_bags4 gITS7_tag_39_ITS4_tag_39",10376028667.5,9004233011.66667,1163746209.5,0,0,171245623.166667,7193755451,171245623.166667
"27","S127","C6Litter17B",127,"C",1,1,6,"Litter","6/14/18","11/20/19","green","B",17,1.5865,1.8018,0.2153,0.79,0.5747,1.0118,63.78,36.22,"272",7666573568,80,96151,41,4,"nothing","Jadraas_org_bags4 gITS7_tag_41_ITS4_tag_41",7665521199.16667,7186266245.33333,463671812,0,0,455677470,6571348773,455677470
"28","S129","C1Litter17A",129,"C",1,1,1,"Litter","6/16/17","11/21/18","green","A",17,1.7555,1.969,0.2135,1.0168,0.8033,0.9522,54.24,45.76,"125",2351831474,106,22167,42,2,"nothing","Jadraas_org_bags2 gITS7_tag_42_ITS4_tag_42",2346080045,1760922846.83333,551845138.166667,0,0,475238085.833333,1206728561.83333,255392464
"29","S131","DC4Litter17B",131,"DC",1,0,4,"Litter","6/14/18","11/20/19","green","B",17,1.366,1.5495,0.1835,0.6,0.4165,0.9495,69.51,30.49,"273",14604215478,111,131270,42,4,"nothing","Jadraas_org_bags4 gITS7_tag_42_ITS4_tag_42",14566765070.5,7456577559.5,7055353160,0,0,7037075043,5848973871.66667,6909128224
"30","S133","DC1Litter17A",133,"DC",1,0,1,"Litter","6/16/17","11/21/18","green","A",17,1.6975,1.9234,0.2259,1.2781,1.0522,0.6453,38.01,61.99,"126",1875278778,92,20462,44,2,"nothing","Jadraas_org_bags2 gITS7_tag_44_ITS4_tag_44",1843920874.33333,1675056969.5,136570811,0,0,42586597,1413947274.16667,36712584
"31","S135","E1Litter17A",135,"E",0,1,1,"Litter","6/16/17","11/21/18","green","A",17,1.6536,1.8688,0.2152,0.8965,0.6813,0.9723,58.8,41.2,"127",2653215197,126,21129,45,2,"nothing","Jadraas_org_bags2 gITS7_tag_45_ITS4_tag_45",2646985883.5,2086887649.33333,511867128,0,0,169877300,2116458084.5,129643203
"32","S137","DC7Litter17B",137,"DC",1,0,7,"Litter","6/14/18","11/20/19","green","B",17,1.6117,1.8186,0.2069,0.71,0.5031,1.1086,68.78,31.22,"274",7367556709,143,51415,45,4,"nothing","Jadraas_org_bags4 gITS7_tag_45_ITS4_tag_45",7321375223,5725496436.33333,1475296702.16667,0,0,1321002320.16667,4898574694.5,1311502241
"33","S139","T1Litter17A",139,"T",1,0,1,"Litter","6/16/17","11/21/18","green","A",17,1.7803,1.9995,0.2192,1.0447,0.8255,0.9548,53.63,46.37,"128",3846679495,193,19920,46,2,"nothing","Jadraas_org_bags2 gITS7_tag_46_ITS4_tag_46",3825904380.83333,2628156368.83333,1111852304.33333,0,0,99452055,2257341570.66667,53875063
"34","S141","TE3Litter17B",141,"TE",0,0,3,"Litter","6/14/18","11/20/19","green","B",17,1.7862,1.9932,0.207,0.92,0.713,1.0732,60.08,39.92,"275",11585523306,115,100886,46,4,"nothing","Jadraas_org_bags4 gITS7_tag_46_ITS4_tag_46",11581141678,9075325626,2451052142.16667,0,0,2149824451,6898781625.33333,1944615023
"35","S143","TE1Litter17A",143,"TE",0,0,1,"Litter","6/16/17","11/21/18","green","A",17,1.7157,1.9398,0.2241,0.8804,0.6563,1.0594,61.75,38.25,"129",1420851409,118,12065,47,2,"nothing","Jadraas_org_bags2 gITS7_tag_47_ITS4_tag_47",1415218522.16667,1291400897.66667,81040479.1666667,0,0,44027273,1145516498,27738965
"36","S145","E8Litter17B",145,"E",0,1,8,"Litter","6/14/18","11/20/19","green","B",17,1.5352,1.7326,0.1974,0.74,0.5426,0.9926,64.66,35.34,"276",34403970745,140,245636,47,4,"nothing","Jadraas_org_bags4 gITS7_tag_47_ITS4_tag_47",34401518514,9513581613.33333,24678794222.6667,0,0,24469693478,7527710554.5,23667979874
"37","S147","C2Litter17A",147,"C",1,1,2,"Litter","6/16/17","11/21/18","green","A",17,2.0838,2.3308,0.247,1.0561,0.8091,1.2747,61.17,38.83,"130",1078008073,97,11116,48,2,"nothing","Jadraas_org_bags2 gITS7_tag_48_ITS4_tag_48",1070424123,922773474.666667,126052100,0,0,58430401,681853548.666667,55804316
"38","S149","DC1Litter17B",149,"DC",1,0,1,"Litter","6/14/18","11/20/19","green","B",17,1.6975,1.9234,0.2259,0.84,0.6141,1.0834,63.82,36.18,"277",11210504031,154,72587,48,4,"nothing","Jadraas_org_bags4 gITS7_tag_48_ITS4_tag_48",11085651393.3333,10896282057.6667,135491856.833333,0,0,0,9011520550,0
"39","S151","DC2Litter17A",151,"DC",1,0,2,"Litter","6/16/17","11/21/18","green","A",17,1.7969,2.0039,0.207,0.9264,0.7194,1.0775,59.96,40.04,"131",932504540,108,8656,49,2,"nothing","Jadraas_org_bags2 gITS7_tag_49_ITS4_tag_49",915088991,866237379.833333,13039409.1666667,0,0,550508.166666667,727203859.5,0
"40","S153","T3Litter17B",153,"T",1,0,3,"Litter","6/14/18","11/20/19","green","B",17,1.7438,1.933,0.1892,0.92,0.7308,1.013,58.09,41.91,"278",16298039632,158,103163,49,4,"nothing","Jadraas_org_bags4 gITS7_tag_49_ITS4_tag_49",16296446308.6667,13224383408.5,2604553120.83333,0,0,2323835317,11259998834.1667,1855949011
"41","S155","E2Litter17A",155,"E",0,1,2,"Litter","6/16/17","11/21/18","green","A",17,1.5935,1.8214,0.2279,1.1693,0.9414,0.6521,40.92,59.08,"132",5253095438,107,49229,50,2,"nothing","Jadraas_org_bags2 gITS7_tag_50_ITS4_tag_50",5249970390.66667,5028329814.33333,174895529,0,0,57010338,4414178340.16667,44793837
"42","S157","TE8Litter17B",157,"TE",0,0,8,"Litter","6/14/18","11/20/19","green","B",17,1.8839,2.0905,0.2066,0.9,0.6934,1.1905,63.19,36.81,"279",14457870299,172,84167,50,4,"nothing","Jadraas_org_bags4 gITS7_tag_50_ITS4_tag_50",14454538933.6667,11705843577.1667,2271502601.83333,0,0,1966166904.83333,8191934362.5,57296712
"43","S159","T2Litter17A",159,"T",1,0,2,"Litter","6/16/17","11/21/18","green","A",17,1.8418,2.0696,0.2278,0.853,0.6252,1.2166,66.05,33.95,"133",1761126674,96,18267,51,2,"nothing","Jadraas_org_bags2 gITS7_tag_51_ITS4_tag_51",1757742071.33333,1600001403.66667,140910155.666667,0,0,128532741.833333,1344908477.33333,102228989
"44","S161","C7Litter17B",161,"C",1,1,7,"Litter","6/14/18","11/20/19","green","B",17,1.4899,1.6685,0.1786,0.75,0.5714,0.9185,61.65,38.35,"280",4380802354,94,46482,51,4,"nothing","Jadraas_org_bags4 gITS7_tag_51_ITS4_tag_51",4359834692.83333,3948717831.66667,312468121.833333,0,0,57299437,2583595435.66667,36463278
"45","S163","TE2Litter17A",163,"TE",0,0,2,"Litter","6/16/17","11/21/18","green","A",17,1.5016,1.6911,0.1895,0.7379,0.5484,0.9532,63.48,36.52,"134",451170382,54,8425,52,2,"nothing","Jadraas_org_bags2 gITS7_tag_52_ITS4_tag_52",445353049.833333,174374932.666667,261004123.666667,0,0,229967512,62719468.5,417364
"46","S165","E7Litter17B",165,"E",0,1,7,"Litter","6/14/18","11/20/19","green","B",17,1.4137,1.6241,0.2104,0.52,0.3096,1.1041,78.1,21.9,"281",1399949658,53,26643,52,4,"nothing","Jadraas_org_bags4 gITS7_tag_52_ITS4_tag_52",1394106928.66667,1157728083.33333,208341693.333333,0,0,23020755,632979707.5,12949175
"47","S166","C1Litter5A",166,"C",1,1,1,"Litter","6/16/17","11/21/17","blue","A",5,1.61,1.805,0.195,1.3896,1.1946,0.4154,25.8,74.2,"45",10487145,21,500,53,1,"nothing","Jadraas_org_bags1 gITS7_tag_53_ITS4_tag_53",9534147,6927609,2438870,0,0,2271198,5952063,83836
"48","S167","C3Litter17A",167,"C",1,1,3,"Litter","6/16/17","11/21/18","green","A",17,1.5445,1.7344,0.1899,1.3042,1.1143,0.4302,27.85,72.15,"135",2868146029,77,37110,53,2,"nothing","Jadraas_org_bags2 gITS7_tag_53_ITS4_tag_53",2861431036,926381403.166667,1903737993.83333,0,0,15655819,2100973356.66667,15655819
"49","S169","C3Litter17B",169,"C",1,1,3,"Litter","6/14/18","11/20/19","green","B",17,1.5445,1.7344,0.1899,0.74,0.5501,0.9944,64.38,35.62,"282",7235407860,99,73205,53,4,"nothing","Jadraas_org_bags4 gITS7_tag_53_ITS4_tag_53",7226172259.66667,3719116260.83333,3475523427,0,0,3214859169,2716610255.83333,3214859169
"50","S170","DC1Litter5A",170,"DC",1,0,1,"Litter","6/16/17","11/21/17","blue","A",5,1.758,1.995,0.237,1.5449,1.3079,0.4501,25.6,74.4,"46",498395952,34,14561,54,1,"nothing","Jadraas_org_bags1 gITS7_tag_54_ITS4_tag_54",495851644.833333,195531502.5,291550564.333333,0,0,27093585,398709566.5,21422835
"51","S171","DC3Litter17A",171,"DC",1,0,3,"Litter","6/16/17","11/21/18","green","A",17,1.7443,1.9511,0.2068,1.2082,1.0014,0.7429,42.59,57.41,"136",1259280017,75,16714,54,2,"nothing","Jadraas_org_bags2 gITS7_tag_54_ITS4_tag_54",1248384500.16667,1070901319.66667,90145600.5,0,0,12382301,792369860.5,0
"52","S173","T1Litter17B",173,"T",1,0,1,"Litter","6/14/18","11/20/19","green","B",17,1.7803,1.9995,0.2192,0.8,0.5808,1.1995,67.38,32.62,"283",5968751732,203,29405,54,4,"nothing","Jadraas_org_bags4 gITS7_tag_54_ITS4_tag_54",5931669958.5,4505838012.33333,1237424378.16667,0,0,663194637,2855835162.33333,339133621
"53","S174","T1Litter5A",174,"T",1,0,1,"Litter","6/16/17","11/21/17","blue","A",5,1.483,1.667,0.184,1.3195,1.1355,0.3475,23.43,76.57,"48",157828453,32,4879,56,1,"nothing","Jadraas_org_bags1 gITS7_tag_56_ITS4_tag_56",155553958.166667,106599652.333333,45565537,0,0,19811103,115047958.666667,19370856
"54","S175","T3Litter17A",175,"T",1,0,3,"Litter","6/16/17","11/21/18","green","A",17,1.7438,1.933,0.1892,0.9525,0.7633,0.9805,56.23,43.77,"138",2133646245,115,18615,56,2,"nothing","Jadraas_org_bags2 gITS7_tag_56_ITS4_tag_56",2123449178.5,1692654859.33333,372314111,0,0,355948655,1380544886.83333,353902973
"55","S177","E3Litter17B",177,"E",0,1,3,"Litter","6/14/18","11/20/19","green","B",17,1.581,1.764,0.183,0.73,0.547,1.034,65.4,34.6,"284",6680228682,178,37441,56,4,"nothing","Jadraas_org_bags4 gITS7_tag_56_ITS4_tag_56",6661480852.83333,5855128536,679709953.333333,0,0,63448576,4561387496,0
"56","S178","TE1Litter5A",178,"TE",0,0,1,"Litter","6/16/17","11/21/17","blue","A",5,1.347,1.522,0.175,1.1998,1.0248,0.3222,23.92,76.08,"49",1868798574,37,50622,57,1,"nothing","Jadraas_org_bags1 gITS7_tag_57_ITS4_tag_57",1866973837.83333,830980080,1009429457.83333,0,0,61083913.8333333,1453039304.66667,45145333.8333333
"57","S179","TE3Litter17A",179,"TE",0,0,3,"Litter","6/16/17","11/21/18","green","A",17,1.7862,1.9932,0.207,0.875,0.668,1.1182,62.6,37.4,"139",6267985802,118,53194,57,2,"nothing","Jadraas_org_bags2 gITS7_tag_57_ITS4_tag_57",6266746280.83333,3160638346,2859410126.66667,0,0,2758985203,2189734347.5,2738895505
"58","S181","E4Litter17B",181,"E",0,1,4,"Litter","6/14/18","11/20/19","green","B",17,1.5621,1.7547,0.1926,1.15,0.9574,0.6047,38.71,61.29,"285",21597087514,148,146320,57,4,"nothing","Jadraas_org_bags4 gITS7_tag_57_ITS4_tag_57",21591374871.8333,18726133797.1667,2541498311.5,0,0,347220056,15230859484.3333,0
"59","S182","C2Litter5A",182,"C",1,1,2,"Litter","6/16/17","11/21/17","blue","A",5,1.402,1.603,0.201,1.2416,1.0406,0.3614,25.78,74.22,"50",1305976233,16,82528,58,1,"nothing","Jadraas_org_bags1 gITS7_tag_58_ITS4_tag_58",1305914314.33333,20667862.3333333,1219947640,0,0,0,1226156985.83333,0
"60","S183","C4Litter17A",183,"C",1,1,4,"Litter","6/16/17","11/21/18","green","A",17,1.7731,1.9813,0.2082,1.2023,0.9941,0.779,43.93,56.07,"140",1852491454,91,20262,58,2,"nothing","Jadraas_org_bags2 gITS7_tag_58_ITS4_tag_58",1835333153.66667,962512190.666667,733130612.833333,0,0,696329135,680763167,672246746
"61","S185","DC8Litter17B",185,"DC",1,0,8,"Litter","6/14/18","11/20/19","green","B",17,1.6918,1.8696,0.1778,0.99,0.8122,0.8796,51.99,48.01,"286",13252230957,125,105740,58,4,"nothing","Jadraas_org_bags4 gITS7_tag_58_ITS4_tag_58",13234459877.5,11744720269.1667,1349729123,0,0,701176241,10585871636.8333,490823369
"62","S186","DC2Litter5A",186,"DC",1,0,2,"Litter","6/16/17","11/21/17","blue","A",5,1.503,1.696,0.193,1.2682,1.0752,0.4278,28.46,71.54,"51",156797153,6,28022,60,1,"nothing","Jadraas_org_bags1 gITS7_tag_60_ITS4_tag_60",152361259.333333,80093122.5,65591252.8333333,0,0,16901518.8333333,101169438.666667,15761808
"63","S187","DC4Litter17A",187,"DC",1,0,4,"Litter","6/16/17","11/21/18","green","A",17,1.366,1.5495,0.1835,0.823,0.6395,0.7265,53.18,46.82,"141",1784396678,85,20965,60,2,"nothing","Jadraas_org_bags2 gITS7_tag_60_ITS4_tag_60",1775764009.5,1455480015.33333,265865024.166667,0,0,229460499.166667,1022565218,176538484
"64","S189","T2Litter17B",189,"T",1,0,2,"Litter","6/14/18","11/20/19","green","B",17,1.8418,2.0696,0.2278,0.84,0.6122,1.2296,66.76,33.24,"287",15325340082,199,76890,60,4,"nothing","Jadraas_org_bags4 gITS7_tag_60_ITS4_tag_60",15142837441,13961708678.1667,964616213,0,0,771692971,11490160456.3333,759635268
"65","S190","E2Litter5A",190,"E",0,1,2,"Litter","6/16/17","11/21/17","blue","A",5,1.448,1.63,0.182,1.2771,1.0951,0.3529,24.37,75.63,"52",229719357,33,7007,61,1,"nothing","Jadraas_org_bags1 gITS7_tag_61_ITS4_tag_61",228522448.833333,151902674.666667,62684326.3333333,0,0,695517,160269801.333333,0
"66","S191","E4Litter17A",191,"E",0,1,4,"Litter","6/16/17","11/21/18","green","A",17,1.5621,1.7547,0.1926,1.0276,0.835,0.7271,46.55,53.45,"142",1733069816,107,16175,61,2,"nothing","Jadraas_org_bags2 gITS7_tag_61_ITS4_tag_61",1723525929.5,1421797242.5,45398353.8333333,0,0,12099196.8333333,857555025,0
"67","S192","T2Litter5A",192,"T",1,0,2,"Litter","6/16/17","11/21/17","blue","A",5,1.711,1.867,0.156,1.4262,1.2702,0.4408,25.76,74.24,"53",494163232,35,13965,63,1,"nothing","Jadraas_org_bags1 gITS7_tag_63_ITS4_tag_63",473760373.166667,141246953,312079013.666667,0,0,166233105.833333,199856363,150135089
