"","Sample","Unique_Sample","order_for_unique_id","treatment","shrubs","pine","block","substrate","start_date","end_date","label","set","incubation","original_substrate_mass_g","deployed_bag_mass_g","bag_mass_g","final_bag_mass_g","final_substrate_g","substrate_mass_difference_g","percent_loss","percent_mass_remaining","DNA_Extraction_ID","copies_DNA_per_g_substrate","DNA_ug_per_g_substrate","ITS_copies_per_ng_DNA","tagNum","pool","notes","scata_ID","copies_fungi","copies_asco","copies_basid","copies_ecto","copies_whiterot","copies_sap_whiterot","copies_sap_other","copies_mycena_clavicularis"
"68","S193","T4Litter17A",193,"T",1,0,4,"Litter","6/16/17","11/21/18","green","A",17,1.621,1.8234,0.2024,1.0123,0.8099,0.8111,50.04,49.96,"143",1105476359,77,14360,63,2,"nothing","Jadraas_org_bags2 gITS7_tag_63_ITS4_tag_63",1090507274.83333,1004877518,46930600,0,0,45192430,880369317.833333,45192430
"69","S195","E7Litter5B",195,"E",0,1,7,"Litter","6/14/18","11/15/18","blue","B",5,1.6314,1.8419,0.2105,1.4764,1.2659,0.3655,22.4,77.6,"288",413071307,26,15619,63,4,"nothing","Jadraas_org_bags4 gITS7_tag_63_ITS4_tag_63",411135743.833333,318224444.5,81471762.8333333,0,0,901902,232459602.666667,0
"70","S196","TE2Litter5A",196,"TE",0,0,2,"Litter","6/16/17","11/21/17","blue","A",5,1.685,1.873,0.188,1.6043,1.4163,0.2687,15.95,84.05,"54",314831495,20,15691,65,1,"nothing","Jadraas_org_bags1 gITS7_tag_65_ITS4_tag_65",313379418.333333,117523286.5,188402013,0,0,4416751,256985687.833333,1104188
"71","S197","TE4Litter17A",197,"TE",0,0,4,"Litter","6/16/17","11/21/18","green","A",17,1.5772,1.7971,0.2199,0.8671,0.6472,0.93,58.97,41.03,"144",4056598556,106,38418,65,2,"nothing","Jadraas_org_bags2 gITS7_tag_65_ITS4_tag_65",4050977516.83333,2136068042.66667,1755865001.83333,0,0,1721191517,1047644663,1686490075
"72","S199","E5Litter5B",199,"E",0,1,5,"Litter","6/14/18","11/15/18","blue","B",5,1.5386,1.7145,0.1759,1.4194,1.2435,0.2951,19.18,80.82,"289",317180663,23,14007,65,4,"nothing","Jadraas_org_bags4 gITS7_tag_65_ITS4_tag_65",315471109,155050992.333333,150148944,0,0,2155248,256219658.666667,2155248
"73","S200","C3Litter5A",200,"C",1,1,3,"Litter","6/16/17","11/21/17","blue","A",5,1.622,1.863,0.241,1.3906,1.1496,0.4724,29.12,70.88,"55",2660294727,32,83479,66,1,"nothing","Jadraas_org_bags1 gITS7_tag_66_ITS4_tag_66",2644272900.16667,229493764.5,2402394150.66667,0,0,4953994,2414779135.66667,2476997
"74","S201","C5Litter17A",201,"C",1,1,5,"Litter","6/16/17","11/21/18","green","A",17,1.5148,1.7065,0.1917,1.0647,0.873,0.6418,42.37,57.63,"145",1735772666,95,18227,66,2,"nothing","Jadraas_org_bags2 gITS7_tag_66_ITS4_tag_66",1729350891.5,1568541397.16667,107515188,0,0,63052380.8333333,1307141586.16667,0
"75","S203","C8Litter5B",203,"C",1,1,8,"Litter","6/14/18","11/15/18","blue","B",5,1.891,2.1025,0.2115,1.5694,1.3579,0.5331,28.19,71.81,"290",1010017078,33,30441,66,4,"nothing","Jadraas_org_bags4 gITS7_tag_66_ITS4_tag_66",980353615.333333,753184548,190444404,0,0,55495444,547349147.166667,46862819
"76","S204","DC3Litter5A",204,"DC",1,0,3,"Litter","6/16/17","11/21/17","blue","A",5,1.662,1.848,0.186,1.3904,1.2044,0.4576,27.53,72.47,"56",559409040,48,11602,67,1,"nothing","Jadraas_org_bags1 gITS7_tag_67_ITS4_tag_67",550398568.666667,407381235.833333,83897886.8333333,0,0,9559730,398025068.5,0
"77","S205","DC5Litter17A",205,"DC",1,0,5,"Litter","6/16/17","11/21/18","green","A",17,1.4111,1.6033,0.1922,1.2481,1.0559,0.3552,25.17,74.83,"146",1106120613,54,20365,67,2,"nothing","Jadraas_org_bags2 gITS7_tag_67_ITS4_tag_67",1103732457.66667,1038989052,8979576,0,0,816325,753145120.333333,0
"78","S207","TE8Litter5B",207,"TE",0,0,8,"Litter","6/14/18","11/15/18","blue","B",5,1.5217,1.7036,0.1819,1.3702,1.1883,0.3334,21.91,78.09,"291",540382024,32,16649,67,4,"nothing","Jadraas_org_bags4 gITS7_tag_67_ITS4_tag_67",531590616.166667,454540445.166667,45981334.6666667,0,0,8473325.33333333,189796111,0
"79","S208","E3Litter5A",208,"E",0,1,3,"Litter","6/16/17","11/21/17","blue","A",5,1.421,1.617,0.196,1.2612,1.0652,0.3558,25.04,74.96,"57",973493586,38,25700,68,1,"nothing","Jadraas_org_bags1 gITS7_tag_68_ITS4_tag_68",966652541.833333,213142139.833333,708552262,0,0,691156468,137601710.5,691156468
"80","S209","E5Litter17A",209,"E",0,1,5,"Litter","6/16/17","11/21/18","green","A",17,1.4018,1.5894,0.1876,0.9089,0.7213,0.6805,48.54,51.46,"147",14562078,62,8,68,2,"verylowDNA","Jadraas_org_bags2 gITS7_tag_68_ITS4_tag_68",13852382.3333333,4608018.83333333,9223795.5,0,0,1995087,1420372,0
"81","S211","C2Litter5B",211,"C",1,1,2,"Litter","6/14/18","11/15/18","blue","B",5,1.5467,1.7747,0.228,1.412,1.184,0.3627,23.45,76.55,"292",327810077,37,8817,68,4,"nothing","Jadraas_org_bags4 gITS7_tag_68_ITS4_tag_68",307082588.5,252292577.5,12855993.6666667,0,0,1409936,171891454.666667,0
"82","S212","T3Litter5A",212,"T",1,0,3,"Litter","6/16/17","11/21/17","blue","A",5,1.596,1.775,0.179,1.341,1.162,0.434,27.19,72.81,"58",519899547,35,14737,69,1,"nothing","Jadraas_org_bags1 gITS7_tag_69_ITS4_tag_69",513038517.833333,105906128.333333,348263257.166667,0,0,308544913,88710171,299784099
"83","S213","T5Litter17A",213,"T",1,0,5,"Litter","6/16/17","11/21/18","green","A",17,1.5277,1.7755,0.2478,1.0791,0.8313,0.6964,45.58,54.42,"148",3911444897,79,49558,69,2,"nothing","Jadraas_org_bags2 gITS7_tag_69_ITS4_tag_69",3888198532.83333,3531277510.83333,162617266,0,0,54328109.6666667,3169783757.33333,28770162.8333333
"84","S215","TE2Litter5B",215,"TE",0,0,2,"Litter","6/14/18","11/15/18","blue","B",5,1.7366,1.9389,0.2023,1.5222,1.3199,0.4167,24,76,"293",160100255,17,9562,69,4,"nothing","Jadraas_org_bags4 gITS7_tag_69_ITS4_tag_69",157911016.833333,32794655.5,122365497.333333,0,0,11003454,128726433.833333,10269890
"85","S217","TE5Litter17A",217,"TE",0,0,5,"Litter","6/16/17","11/21/18","green","A",17,1.4938,1.6993,0.2055,1.041,0.8355,0.6583,44.07,55.93,"149",3769848882,115,32903,70,2,"nothing","Jadraas_org_bags2 gITS7_tag_70_ITS4_tag_70",3754538562.5,3620692984.33333,26857732,0,0,0,2500199084.33333,0
"86","S219","E8Litter5B",219,"E",0,1,8,"Litter","6/14/18","11/15/18","blue","B",5,1.5106,1.7149,0.2043,1.3543,1.15,0.3606,23.87,76.13,"294",712541547,74,9674,70,4,"nothing","Jadraas_org_bags4 gITS7_tag_70_ITS4_tag_70",697876927.5,578402727.333333,62918235,0,0,20488415,454269365.5,3794151
"87","S221","C6Litter17A",221,"C",1,1,6,"Litter","6/16/17","11/21/18","green","A",17,1.5865,1.8018,0.2153,0.897,0.6817,0.9048,57.03,42.97,"150",759984638,72,10594,71,2,"nothing","Jadraas_org_bags2 gITS7_tag_71_ITS4_tag_71",744166249.833333,602267815.666667,98028145.6666667,0,0,60794894.6666667,399757505.833333,0
"88","S223","DC3Litter5B",223,"DC",1,0,3,"Litter","6/14/18","11/15/18","blue","B",5,1.7339,1.9233,0.1894,1.5558,1.3664,0.3675,21.19,78.81,"295",290762969,38,7623,71,4,"nothing","Jadraas_org_bags4 gITS7_tag_71_ITS4_tag_71",280587609.333333,196582410.5,75194192.8333333,0,0,9440356,139210483.333333,0
"89","S225","DC6Litter17A",225,"DC",1,0,6,"Litter","6/16/17","11/21/18","green","A",17,1.6836,1.8926,0.209,1.0565,0.8475,0.8361,49.66,50.34,"151",394950938,53,7400,72,2,"nothing","Jadraas_org_bags2 gITS7_tag_72_ITS4_tag_72",391833181.833333,270232741.166667,104545462.5,0,0,75645078,53057272.3333333,3421134
"90","S227","T8Litter5B",227,"T",1,0,8,"Litter","6/14/18","11/15/18","blue","B",5,1.3301,1.5145,0.1844,1.2092,1.0248,0.3053,22.95,77.05,"296",597613715,44,13569,72,4,"nothing","Jadraas_org_bags4 gITS7_tag_72_ITS4_tag_72",593914109,471168640,92771349.5,0,0,0,307549683.166667,0
"91","S228","E4Litter5A",228,"E",0,1,4,"Litter","6/16/17","11/21/17","blue","A",5,1.566,1.779,0.213,1.3804,1.1674,0.3986,25.45,74.55,"62",4537120,0,12974,73,1,"nothing","Jadraas_org_bags1 gITS7_tag_73_ITS4_tag_73",3595299.5,991406,1176365.16666667,0,0,515427.166666667,1023706,507973.166666667
"92","S229","E6Litter17A",229,"E",0,1,6,"Litter","6/16/17","11/21/18","green","A",17,1.4301,1.6121,0.182,1.1016,0.9196,0.5105,35.7,64.3,"152",2537717942,67,37758,73,2,"nothing","Jadraas_org_bags2 gITS7_tag_73_ITS4_tag_73",2530172727,880790088.166667,1596577512,0,0,1546159275,515883639,1481335828
"93","S232","T4Litter5A",232,"T",1,0,4,"Litter","6/16/17","11/21/17","blue","A",5,1.494,1.728,0.234,1.3446,1.1106,0.3834,25.66,74.34,"63",764379945,22,34557,74,1,"nothing","Jadraas_org_bags1 gITS7_tag_74_ITS4_tag_74",758085870.666667,89385817.6666667,594556965,0,0,31069485,547435377.666667,0
"94","S233","T6Litter17A",233,"T",1,0,6,"Litter","6/16/17","11/21/18","green","A",17,1.7271,1.941,0.2139,0.7765,0.5626,1.1645,67.43,32.57,"153",3607185582,131,27621,74,2,"nothing","Jadraas_org_bags2 gITS7_tag_74_ITS4_tag_74",3588997605.16667,3338002253.33333,154316895.666667,0,0,1613851.66666667,3010679416.5,0
"95","S235","E1Litter5B",235,"E",0,1,1,"Litter","6/14/18","11/15/18","blue","B",5,1.5569,1.7704,0.2135,1.484,1.2705,0.2864,18.4,81.6,"298",530140313,26,20766,74,4,"nothing","Jadraas_org_bags4 gITS7_tag_74_ITS4_tag_74",526948124.5,359826391,134803578.666667,0,0,11328166.8333333,396170884.166667,2086418.83333333
"96","S236","TE4Litter5A",236,"TE",0,0,4,"Litter","6/16/17","11/21/17","blue","A",5,1.358,1.554,0.196,1.2368,1.0408,0.3172,23.36,76.64,"64",365997822,31,11751,75,1,"nothing","Jadraas_org_bags1 gITS7_tag_75_ITS4_tag_75",356742562.333333,171264826.333333,109573959,0,0,10055839,222266165.333333,7975320
"97","S237","TE6Litter17A",237,"TE",0,0,6,"Litter","6/16/17","11/21/18","green","A",17,1.5188,1.7198,0.201,0.8851,0.6841,0.8347,54.96,45.04,"154",13426930293,137,98179,75,2,"nothing","Jadraas_org_bags2 gITS7_tag_75_ITS4_tag_75",13383007126.3333,7362892596.33333,5870991088,0,0,5844663774,6731740031.83333,5818336460
"98","S239","C3Litter5B",239,"C",1,1,3,"Litter","6/14/18","11/15/18","blue","B",5,1.605,1.8056,0.2006,1.4317,1.2311,0.3739,23.3,76.7,"299",680861442,37,18238,75,4,"nothing","Jadraas_org_bags4 gITS7_tag_75_ITS4_tag_75",669643105,399109898.833333,214515467.5,0,0,5570685,251785566.333333,4332755
"99","S240","C5Litter5A",240,"C",1,1,5,"Litter","6/16/17","11/21/17","blue","A",5,1.511,1.744,0.233,1.3961,1.1631,0.3479,23.02,76.98,"65",2314995426,19,120907,76,1,"nothing","Jadraas_org_bags1 gITS7_tag_76_ITS4_tag_76",2314786217.83333,151118035.5,2121910404.16667,0,0,46757535,2170643646,46757535
"100","S241","C7Litter17A",241,"C",1,1,7,"Litter","6/16/17","11/21/18","green","A",17,1.4899,1.6685,0.1786,1.1232,0.9446,0.5453,36.6,63.4,"155",3291043256,88,37325,76,2,"nothing","Jadraas_org_bags2 gITS7_tag_76_ITS4_tag_76",3287590629.5,2967883969.16667,277586207,0,0,275233782,1288805810.66667,91744594
"101","S242","DC5Litter5A",242,"DC",1,0,5,"Litter","6/16/17","11/21/17","blue","A",5,1.723,1.961,0.238,1.6286,1.3906,0.3324,19.29,80.71,"66",1171552867,35,33690,77,1,"nothing","Jadraas_org_bags1 gITS7_tag_77_ITS4_tag_77",1167134647.66667,451474516.333333,177930382.333333,0,0,49201507,194307073.5,47809012
"102","S243","DC7Litter17A",243,"DC",1,0,7,"Litter","6/16/17","11/21/18","green","A",17,1.6117,1.8186,0.2069,0.9039,0.697,0.9147,56.75,43.25,"156",1857065354,56,33163,77,2,"nothing","Jadraas_org_bags2 gITS7_tag_77_ITS4_tag_77",1836954941.5,1783363675,24511863,0,0,22177399,1095772057.16667,22177399
"103","S245","E2Litter5B",245,"E",0,1,2,"Litter","6/14/18","11/15/18","blue","B",5,1.6193,1.8442,0.2249,1.4855,1.2606,0.3587,22.15,77.85,"300",111359383,21,5335,77,4,"nothing","Jadraas_org_bags4 gITS7_tag_77_ITS4_tag_77",106280399.666667,61438881.3333333,36088693,0,0,618664,79201778.1666667,0
"104","S246","E5Litter5A",246,"E",0,1,5,"Litter","6/16/17","11/21/17","blue","A",5,1.655,1.878,0.223,1.5344,1.3114,0.3436,20.76,79.24,"67",378220251,29,13060,78,1,"nothing","Jadraas_org_bags1 gITS7_tag_78_ITS4_tag_78",373465367.333333,93340623.3333333,255423622.833333,0,0,129675515,195372460.666667,123191739
"105","S247","E7Litter17A",247,"E",0,1,7,"Litter","6/16/17","11/21/18","green","A",17,1.4137,1.6241,0.2104,0.7516,0.5412,0.8725,61.72,38.28,"157",1257383559,48,26328,78,2,"nothing","Jadraas_org_bags2 gITS7_tag_78_ITS4_tag_78",1255105247.16667,646898362.166667,524080990.333333,0,0,514897760,375159969.166667,512476611
"106","S249","C7Litter5B",249,"C",1,1,7,"Litter","6/14/18","11/15/18","blue","B",5,1.7284,1.9246,0.1962,1.5653,1.3691,0.3593,20.79,79.21,"301",151752766,21,7114,78,4,"nothing","Jadraas_org_bags4 gITS7_tag_78_ITS4_tag_78",150463005.333333,111845358.166667,25045648.1666667,0,0,7668235.16666667,52795435.1666667,2996106
"107","S250","T5Litter5A",250,"T",1,0,5,"Litter","6/16/17","11/21/17","blue","A",5,1.49,1.702,0.212,1.32,1.108,0.382,25.64,74.36,"68",1216636183,27,45700,79,1,"nothing","Jadraas_org_bags1 gITS7_tag_79_ITS4_tag_79",1210544215.83333,79181470.5,1019881256,0,0,6279413,1054296386.16667,6279413
"108","S251","T7Litter17A",251,"T",1,0,7,"Litter","6/16/17","11/21/18","green","A",17,1.7357,1.9425,0.2068,0.6722,0.4654,1.2703,73.19,26.81,"158",624961415,56,11165,79,2,"nothing","Jadraas_org_bags2 gITS7_tag_79_ITS4_tag_79",621788855.5,198685412.5,396113015,0,0,370263029,93445845.1666667,339471134
"109","S253","DC8Litter5B",253,"DC",1,0,8,"Litter","6/14/18","11/15/18","blue","B",5,1.6798,1.9162,0.2364,1.4296,1.1932,0.4866,28.97,71.03,"302",79338475,15,5410,79,4,"nothing","Jadraas_org_bags4 gITS7_tag_79_ITS4_tag_79",77980956.6666667,43563412,26195880,0,0,0,47680352,0
"110","S254","TE5Litter5A",254,"TE",0,0,5,"Litter","6/16/17","11/21/17","blue","A",5,1.808,2.01,0.202,1.5731,1.3711,0.4369,24.16,75.84,"69",847195390,25,33617,80,1,"nothing","Jadraas_org_bags1 gITS7_tag_80_ITS4_tag_80",843930990.166667,227721000.666667,535501966,0,0,126613816,250019671.166667,125869029
"111","S255","TE7Litter17A",255,"TE",0,0,7,"Litter","6/16/17","11/21/18","green","A",17,1.467,1.6651,0.1981,1.0009,0.8028,0.6642,45.28,54.72,"159",7557046768,101,74627,80,2,"nothing","Jadraas_org_bags2 gITS7_tag_80_ITS4_tag_80",7551140956.16667,7066737612,249020113.666667,0,0,240854747.666667,2069862558.83333,232712947
"112","S257","TE3Litter5B",257,"TE",0,0,3,"Litter","6/14/18","11/15/18","blue","B",5,1.4768,1.6443,0.1675,1.2691,1.1016,0.3752,25.41,74.59,"303",461531028,34,13694,80,4,"nothing","Jadraas_org_bags4 gITS7_tag_80_ITS4_tag_80",460267798.166667,351720592.166667,97952368,0,0,27375334,215295222.5,25664376
"113","S258","C6Litter5A",258,"C",1,1,6,"Litter","6/16/17","11/21/17","blue","A",5,1.754,1.909,0.155,1.3794,1.2244,0.5296,30.19,69.81,"70",1001994449,27,36822,81,1,"nothing","Jadraas_org_bags1 gITS7_tag_81_ITS4_tag_81",1000874969.16667,273501142.666667,648289792.5,0,0,605141529,173954348.833333,553463863
"114","S259","C8Litter17A",259,"C",1,1,8,"Litter","6/16/17","11/21/18","green","A",17,1.6241,1.8412,0.2171,0.8352,0.6181,1.006,61.94,38.06,"160",587607552,81,7252,81,2,"nothing","Jadraas_org_bags2 gITS7_tag_81_ITS4_tag_81",578903389.5,474354074.5,100425391.166667,0,0,75957672.1666667,248066772.333333,56199291
"115","S261","C6Litter5B",261,"C",1,1,6,"Litter","6/14/18","11/15/18","blue","B",5,1.4171,1.634,0.2169,1.1861,0.9692,0.4479,31.61,68.39,"304",289868033,28,10402,81,4,"nothing","Jadraas_org_bags4 gITS7_tag_81_ITS4_tag_81",287584322.666667,222605552.833333,27997794.8333333,0,0,13090927.8333333,92923832.6666667,10906776.8333333
"116","S262","DC6Litter5A",262,"DC",1,0,6,"Litter","6/16/17","11/21/17","blue","A",5,1.508,1.746,0.238,1.4252,1.1872,0.3208,21.27,78.73,"71",132692181,16,8515,82,1,"brokenseal_orangefromslug","Jadraas_org_bags1 gITS7_tag_82_ITS4_tag_82",124794340.333333,46126237.8333333,15418990.1666667,0,0,10551626.8333333,30290110,6607529
"117","S263","DC8Litter17A",263,"DC",1,0,8,"Litter","6/16/17","11/21/18","green","A",17,1.6918,1.8696,0.1778,1.1181,0.9403,0.7515,44.42,55.58,"161",1619745247,71,22844,82,2,"nothing","Jadraas_org_bags2 gITS7_tag_82_ITS4_tag_82",1612617734,1322953554.66667,251410839,0,0,156616589,860323052.5,104067602
"118","S265","T4Litter5B",265,"T",1,0,4,"Litter","6/14/18","11/15/18","blue","B",5,1.4274,1.6381,0.2107,1.2691,1.0584,0.369,25.85,74.15,"305",571754698,37,15460,82,4,"nothing","Jadraas_org_bags4 gITS7_tag_82_ITS4_tag_82",569027970,442102601,59098165,0,0,42989076,130185122.833333,18150943
"119","S266","E6Litter5A",266,"E",0,1,6,"Litter","6/16/17","11/21/17","blue","A",5,1.44,1.616,0.176,1.4002,1.2242,0.2158,14.99,85.01,"72",947853868,18,51811,83,1,"smallholeinbag","Jadraas_org_bags1 gITS7_tag_83_ITS4_tag_83",944413036.333333,370314496,434720211.666667,0,0,17693272,541221653.333333,13269954
"120","S267","E8Litter17A",267,"E",0,1,8,"Litter","6/16/17","11/21/18","green","A",17,1.5352,1.7326,0.1974,0.9852,0.7878,0.7474,48.68,51.32,"162",2998280168,80,37368,83,2,"nothing","Jadraas_org_bags2 gITS7_tag_83_ITS4_tag_83",2996278133.66667,2508808140.83333,335965480,0,0,319026045,1493479626.83333,0
"121","S269","TE7Litter5B",269,"TE",0,0,7,"Litter","6/14/18","11/15/18","blue","B",5,1.403,1.5973,0.1943,1.328,1.1337,0.2693,19.19,80.81,"306",258852756,17,15203,83,4,"nothing","Jadraas_org_bags4 gITS7_tag_83_ITS4_tag_83",253286464.5,136712699.333333,115441756.166667,0,0,5660046,159858233.833333,5660046
"122","S270","T6Litter5A",270,"T",1,0,6,"Litter","6/16/17","11/21/17","blue","A",5,1.587,1.803,0.216,1.3339,1.1179,0.4691,29.56,70.44,"73",583462135,23,25018,84,1,"nothing","Jadraas_org_bags1 gITS7_tag_84_ITS4_tag_84",577974029.666667,158573053,346309395.333333,0,0,162192426,145345956.5,158843320
"123","S271","T8Litter17A",271,"T",1,0,8,"Litter","6/16/17","11/21/18","green","A",17,1.8471,2.0554,0.2083,1.0897,0.8814,0.9657,52.28,47.72,"163",2373156821,75,31636,84,2,"nothing","Jadraas_org_bags2 gITS7_tag_84_ITS4_tag_84",2349731042.5,1714500014.5,456124851,0,0,425982254,1304523130.83333,425982254
"124","S273","DC7Litter5B",273,"DC",1,0,7,"Litter","6/14/18","11/15/18","blue","B",5,1.6541,1.8562,0.2021,1.4289,1.2268,0.4273,25.83,74.17,"307",64434220,11,5724,84,4,"nothing","Jadraas_org_bags4 gITS7_tag_84_ITS4_tag_84",58825354.3333333,41273904.5,12722596.5,0,0,502901,29629801,377176
"125","S274","TE6Litter5A",274,"TE",0,0,6,"Litter","6/16/17","11/21/17","blue","A",5,1.485,1.713,0.228,1.4,1.172,0.313,21.08,78.92,"74",1064059467,21,51625,85,1,"nothing","Jadraas_org_bags1 gITS7_tag_85_ITS4_tag_85",1060967373.33333,167327859.833333,668235503.833333,0,0,84609722.1666667,648443668.5,8321830
"126","S275","TE8Litter17A",275,"TE",0,0,8,"Litter","6/16/17","11/21/18","green","A",17,1.8839,2.0905,0.2066,0.662,0.4554,1.4285,75.83,24.17,"164",148632797,29,5101,85,2,"nothing","Jadraas_org_bags2 gITS7_tag_85_ITS4_tag_85",147618115.166667,58277377.1666667,86762717,0,0,81309211,31307316.1666667,174742.666666667
"127","S277","T5Litter5B",277,"T",1,0,5,"Litter","6/14/18","11/15/18","blue","B",5,1.4001,1.599,0.1989,1.2263,1.0274,0.3727,26.62,73.38,"308",201622285,36,5570,85,4,"nothing","Jadraas_org_bags4 gITS7_tag_85_ITS4_tag_85",200406471.166667,180342037.333333,10525143,0,0,1973464,118713210.666667,0
"128","S278","C7Litter5A",278,"C",1,1,7,"Litter","6/16/17","11/21/17","blue","A",5,1.688,1.784,0.096,1.3937,1.2977,0.3903,23.12,76.88,"75",1272255479,40,32123,86,1,"nothing","Jadraas_org_bags1 gITS7_tag_86_ITS4_tag_86",1266405809.83333,169026817,804599927,0,0,773810182,70279590.8333333,773810182
"129","S280","C1Litter5B",280,"C",1,1,1,"Litter","6/14/18","11/15/18","blue","B",5,1.6859,1.9345,0.2486,1.4622,1.2136,0.4723,28.01,71.99,"309",645418197,40,16110,86,4,"nothing","Jadraas_org_bags4 gITS7_tag_86_ITS4_tag_86",642438772.166667,366301107.666667,159823669,0,0,22044644,357625996.666667,4286459
"130","S281","DC7Litter5A",281,"DC",1,0,7,"Litter","6/16/17","11/21/17","blue","A",5,1.135,1.35,0.215,0.9982,0.7832,0.3518,31,69,"76",1662215971,26,63693,87,1,"nothing","Jadraas_org_bags1 gITS7_tag_87_ITS4_tag_87",1649300665.66667,89469632.8333333,1368924431,0,0,486282908,917476428.5,444779388
"131","S283","DC5Litter5B",283,"DC",1,0,5,"Litter","6/14/18","11/15/18","blue","B",5,1.3143,1.5219,0.2076,1.2445,1.0369,0.2774,21.11,78.89,"310",160135448,21,7461,87,4,"nothing","Jadraas_org_bags4 gITS7_tag_87_ITS4_tag_87",149778844.5,114070161.5,23252165,0,0,276811,73406420.5,276811
"132","S284","E7Litter5A",284,"E",0,1,7,"Litter","6/16/17","11/21/17","blue","A",5,1.543,1.72,0.177,1.378,1.201,0.342,22.16,77.84,"77",144362169,20,7218,88,1,"nothing","Jadraas_org_bags1 gITS7_tag_88_ITS4_tag_88",139263137.5,59996202.8333333,39787067.1666667,0,0,27316807,30646360.6666667,25450055
"133","S286","E3Litter5B",286,"E",0,1,3,"Litter","6/14/18","11/15/18","blue","B",5,1.6643,1.8624,0.1981,1.4406,1.2425,0.4218,25.34,74.66,"311",95373700,19,5016,88,4,"nothing","Jadraas_org_bags4 gITS7_tag_88_ITS4_tag_88",93363991.3333333,42478065.3333333,46834405,0,0,7822449,58218572.3333333,7822449
"134","S287","T7Litter5A",287,"T",1,0,7,"Litter","6/16/17","11/21/17","blue","A",5,1.612,1.81,0.198,1.5925,1.3945,0.2175,13.49,86.51,"78",844008643,35,23940,89,1,"nothing","Jadraas_org_bags1 gITS7_tag_89_ITS4_tag_89",842388850.333333,192353297.166667,562442671,0,0,376587690,218615715.166667,375028321
"135","S289","T2Litter5B",289,"T",1,0,2,"Litter","6/14/18","11/15/18","blue","B",5,1.487,1.727,0.24,1.3272,1.0872,0.3998,26.89,73.11,"312",625626970,30,20802,89,4,"nothing","Jadraas_org_bags4 gITS7_tag_89_ITS4_tag_89",622294618.333333,421038274.666667,192713375.833333,0,0,23632033,333957936,23010137
"136","S290","TE7Litter5A",290,"TE",0,0,7,"Litter","6/16/17","11/21/17","blue","A",5,1.783,2.041,0.258,1.5001,1.2421,0.5409,30.34,69.66,"79",304477482,25,12030,90,1,"nothing","Jadraas_org_bags1 gITS7_tag_90_ITS4_tag_90",302907123.666667,58425855.6666667,66574310.8333333,0,0,14138803,59970166.6666667,4274522
"137","S292","DC1Litter5B",292,"DC",1,0,1,"Litter","6/14/18","11/15/18","blue","B",5,1.8166,2.0216,0.205,1.547,1.342,0.4746,26.13,73.87,"313",363949032,30,12154,90,4,"nothing","Jadraas_org_bags4 gITS7_tag_90_ITS4_tag_90",352108438,283239866.166667,53159322.3333333,0,0,32597797,223403064.5,12179397
"138","S293","C8Litter5A",293,"C",1,1,8,"Litter","6/16/17","11/21/17","blue","A",5,1.111,1.309,0.198,0.9529,0.7549,0.3561,32.05,67.95,"80",23079833,17,1377,91,1,"nothing","Jadraas_org_bags1 gITS7_tag_91_ITS4_tag_91",21612760.3333333,9787005.66666667,11420830.3333333,0,0,2240087.16666667,14487144,2240087.16666667
"139","S295","T1Litter5B",295,"T",1,0,1,"Litter","6/14/18","11/15/18","blue","B",5,1.6454,1.8521,0.2067,1.3819,1.1752,0.4702,28.58,71.42,"314",425183923,58,7332,91,4,"nothing","Jadraas_org_bags4 gITS7_tag_91_ITS4_tag_91",418415969.333333,327072295.166667,39947513,0,0,22940156,216152226.833333,22940156
"140","S296","DC8Litter5A",296,"DC",1,0,8,"Litter","6/16/17","11/21/17","blue","A",5,1.271,1.474,0.203,1.1533,0.9503,0.3207,25.23,74.77,"81",199975839,16,12743,92,1,"nothing","Jadraas_org_bags1 gITS7_tag_92_ITS4_tag_92",198499454.666667,19196823.3333333,177804685.333333,0,0,3183136,184358200.333333,2246920
"141","S297","E8Litter5A",297,"E",0,1,8,"Litter","6/16/17","11/21/17","blue","A",5,1.528,1.369,0.159,1.0986,0.9396,0.5884,38.51,61.49,"82",238027415,21,11309,93,1,"nothing","Jadraas_org_bags1 gITS7_tag_93_ITS4_tag_93",236328609,113634145.5,114521108.5,0,0,34594746,120566716.666667,0
"142","S299","TE5Litter5B",299,"TE",0,0,5,"Litter","6/14/18","11/15/18","blue","B",5,1.2421,1.4393,0.1972,1.0979,0.9007,0.3414,27.49,72.51,"315",506837741,54,9445,93,4,"nothing","Jadraas_org_bags4 gITS7_tag_93_ITS4_tag_93",501586111.666667,446464306,43696872.8333333,0,0,16651753,74412521,16131386
"143","S300","T8Litter5A",300,"T",1,0,8,"Litter","6/16/17","11/21/17","blue","A",5,1.147,1.309,0.162,1.043,0.881,0.266,23.19,76.81,"83",889057530,11,83182,94,1,"nothing","Jadraas_org_bags1 gITS7_tag_94_ITS4_tag_94",883940084.166667,71702656.1666667,740914706,0,0,41060506,745852121,41060506
"144","S302","E4Litter5B",302,"E",0,1,4,"Litter","6/14/18","11/15/18","blue","B",5,1.5856,1.7678,0.1822,1.375,1.1928,0.3928,24.77,75.23,"316",120255121,19,6375,94,4,"nothing","Jadraas_org_bags4 gITS7_tag_94_ITS4_tag_94",116206838,80952843.1666667,28924152,0,0,384730.166666667,77622830.3333333,128615
