"","Sample","Unique_Sample","order_for_unique_id","treatment","shrubs","pine","block","substrate","start_date","end_date","label","set","incubation","original_substrate_mass_g","deployed_bag_mass_g","bag_mass_g","final_bag_mass_g","final_substrate_g","substrate_mass_difference_g","percent_loss","percent_mass_remaining","DNA_Extraction_ID","copies_DNA_per_g_substrate","DNA_ug_per_g_substrate","ITS_copies_per_ng_DNA","tagNum","pool","notes","scata_ID","copies_fungi","copies_ecto","copies_ericoid","copies_saprotrophs","copies_molds_yeasts","copies_otherrootfungi","copies_archies","copies_sap_whiterot","copies_ecto_whiterot","copies_sap_other","copies_moulds_yeasts","copies_other_root","copies_ericoid_ecto","copies_whiterot","copies_cortinarius"
"47","S62","E5Humus17A",62,"E",0,1,5,"Humus","6/16/17","11/21/18","green","A",17,2.5882,2.8403,0.2521,2.6599,2.4078,0.1804,6.97,93.03,"107",767684931,25,31082,20,2,"nothing","Jadraas_org_bags2 gITS7_tag_20_ITS4_tag_20",766092478.666667,3544980,11028824,36237565,692470867.833333,10241052,5908299,787773,1575547,35449792,692470867.833333,10241052,7061049.33333333,2363320,1575547
"48","S63","C5Humus17B",63,"C",1,1,5,"Humus","6/14/18","11/20/19","green","B",17,3.0753,3.3253,0.25,2.65,2.4,0.6753,21.96,78.04,"181",2439847959,96,25416,20,3,"nothing","Jadraas_org_bags3 gITS7_tag_20_ITS4_tag_20",2358648299.83333,814305773.833333,62790206,64583920.1666667,882357796,421591375,407239328,0,5382018,64583920.1666667,882357796,421591375,84318276,5382018,5382018
"49","S65","C4Humus5A",65,"C",1,1,4,"Humus","6/16/17","11/21/17","blue","A",5,2.8,3.122,0.322,2.9536,2.6316,0.1684,6.01,93.99,"18",12926059,9,1372,21,1,"nothing","Jadraas_org_bags1 gITS7_tag_21_ITS4_tag_21",12571271.1666667,5630,349049,39410,11214764.6666667,647147.5,527366.166666667,0,5630,39410,11214764.6666667,647147.5,213932,5630,5630
"50","S66","T5Humus17A",66,"T",1,0,5,"Humus","6/16/17","11/21/18","green","A",17,2.9444,3.2006,0.2562,2.9063,2.6501,0.2943,10,90,"108",900648919,40,22407,21,2,"nothing","Jadraas_org_bags2 gITS7_tag_21_ITS4_tag_21",897373742,0,1076044,2151796.16666667,882310584.5,6993119.33333333,1076044,0,0,2151796.16666667,882310584.5,6993119.33333333,1076044,0,0
"51","S67","DC4Humus17B",67,"DC",1,0,4,"Humus","6/14/18","11/20/19","green","B",17,3.1467,3.421,0.2743,2.18,1.9057,1.241,39.44,60.56,"182",3730877546,109,34152,21,3,"nothing","Jadraas_org_bags3 gITS7_tag_21_ITS4_tag_21",3656155291.66667,198091693.833333,671557958.666667,455411182.5,1960587967.33333,43741323,0,28295857.6666667,0,427115324.833333,1960587967.33333,43741323,185257368,28295857.6666667,0
"52","S69","DC4Humus5A",69,"DC",1,0,4,"Humus","6/16/17","11/21/17","blue","A",5,2.533,2.888,0.355,2.4336,2.0786,0.4544,17.94,82.06,"19",83443468,16,5159,22,1,"nothing","Jadraas_org_bags1 gITS7_tag_22_ITS4_tag_22",83063919.3333333,3007846,1164328,3153388,71550749.3333333,1812275.83333333,0,242568,0,2910820,71550749.3333333,1812275.83333333,1455410,242568,0
"53","S70","TE5Humus17A",70,"TE",0,0,5,"Humus","6/16/17","11/21/18","green","A",17,2.5142,2.7441,0.2299,2.7259,2.496,0.0182,0.72,99.28,"109",694415770,40,17485,22,2,"nothing","Jadraas_org_bags2 gITS7_tag_22_ITS4_tag_22",694402091.5,0,718856,3234856,661694107.833333,9704566.66666667,359427.666666667,1437714,0,1797142,661694107.833333,9704566.66666667,14017708,1437714,0
"54","S71","C1Humus17B",71,"C",1,1,1,"Humus","6/14/18","11/20/19","green","B",17,3.301,3.5618,0.2608,2.75,2.4892,0.8118,24.59,75.41,"183",2560554591,123,20786,22,3,"nothing","Jadraas_org_bags3 gITS7_tag_22_ITS4_tag_22",2276167092.16667,727464861.166667,392575641,24035246,821237657.666667,182665719.666667,174653971.666667,3204700,24035244,20830546,821237657.666667,182665719.666667,94538623,27239944,12818797
"55","S73","E4Humus5A",73,"E",0,1,4,"Humus","6/16/17","11/21/17","blue","A",5,2.547,2.866,0.319,2.7088,2.3898,0.1572,6.17,93.83,"20",56933342,11,5087,23,1,"brokenseal","Jadraas_org_bags1 gITS7_tag_23_ITS4_tag_23",56577237.8333333,431890,2743776,659058.833333333,51523351.5,304863,0,0,25405,659058.833333333,51523351.5,304863,507815.5,25405,0
"56","S74","C6Humus17A",74,"C",1,1,6,"Humus","6/16/17","11/21/18","green","A",17,2.8064,3.0456,0.2392,2.1962,1.957,0.8494,30.27,69.73,"110",1488159141,31,48598,23,2,"nothing","Jadraas_org_bags2 gITS7_tag_23_ITS4_tag_23",1487365774.33333,3139576,15696043.1666667,100466440,1299779770,48663432,0,0,1569788,100466440,1299779770,48663432,5492420.16666667,1569788,0
