"","Sample","Unique_Sample","order_for_unique_id","treatment","shrubs","pine","block","substrate","start_date","end_date","label","set","incubation","original_substrate_mass_g","deployed_bag_mass_g","bag_mass_g","final_bag_mass_g","final_substrate_g","substrate_mass_difference_g","percent_loss","percent_mass_remaining","DNA_Extraction_ID","copies_DNA_per_g_substrate","DNA_ug_per_g_substrate","ITS_copies_per_ng_DNA","tagNum","pool","notes","scata_ID","copies_fungi","copies_ecto","copies_ericoid","copies_saprotrophs","copies_molds_yeasts","copies_otherrootfungi","copies_archies","copies_sap_whiterot","copies_ecto_whiterot","copies_sap_other","copies_moulds_yeasts","copies_other_root","copies_ericoid_ecto","copies_whiterot","copies_cortinarius"
"86","S114","C7Humus17B",114,"C",1,1,7,"Humus","6/14/18","11/20/19","green","B",17,2.5861,2.8454,0.2593,2.16,1.9007,0.6854,26.5,73.5,"194",2113438351,80,26441,38,3,"nothing","Jadraas_org_bags3 gITS7_tag_38_ITS4_tag_38",2045736274,208851853,64079254.5,23733164,1434616756.66667,168505472,141212332,1186658,28479798,22546506,1434616756.66667,168505472,125778422.666667,29666456,14239899
"87","S116","TE6Humus5A",116,"TE",0,0,6,"Humus","6/16/17","11/21/17","blue","A",5,2.611,2.943,0.332,2.7883,2.4563,0.1547,5.92,94.08,"33",85235942,15,5693,39,1,"nothing","Jadraas_org_bags1 gITS7_tag_39_ITS4_tag_39",85048009.8333333,36835,191604.666666667,1923701.33333333,78262314.3333333,1989083.66666667,0,120560,36835,1803141.33333333,78262314.3333333,1989083.66666667,1986954.33333333,157395,36835
"88","S117","T8Humus17A",117,"T",1,0,8,"Humus","6/16/17","11/21/18","green","A",17,3.0817,3.3329,0.2512,2.64323,2.39203,0.68967,22.38,77.62,"123",764967703,44,17570,39,2,"nothing","Jadraas_org_bags2 gITS7_tag_39_ITS4_tag_39",741162927.5,0,6088745,10516920,523078495,2213796.5,0,553522,0,9963398,523078495,2213796.5,63101532.6666667,553522,0
"89","S118","TE1Humus17B",118,"TE",0,0,1,"Humus","6/14/18","11/20/19","green","B",17,3.086,3.348,0.262,2.56,2.298,0.788,25.53,74.47,"195",2916050033,164,17812,39,3,"nothing","Jadraas_org_bags3 gITS7_tag_39_ITS4_tag_39",2911259514.33333,0,20624945,188796997.166667,2235424088.83333,28554008.6666667,1586534,120576023.166667,0,68220974,2235424088.83333,28554008.6666667,304613279.666667,120576023.166667,0
"90","S124","C7Humus5A",124,"C",1,1,7,"Humus","6/16/17","11/21/17","blue","A",5,2.672,3.003,0.331,2.8526,2.5216,0.1504,5.63,94.37,"34",11820925,7,1654,41,1,"nothing","Jadraas_org_bags1 gITS7_tag_41_ITS4_tag_41",11229160.5,10722,208786.5,64332,9755185.33333333,1088276,793423,0,10722,64332,9755185.33333333,1088276,69692.6666666667,10722,0
"91","S125","TE8Humus17A",125,"TE",0,0,8,"Humus","6/16/17","11/21/18","green","A",17,3.0421,3.2856,0.2435,2.8047,2.5612,0.4809,15.81,84.19,"124",326135030,26,12721,41,2,"nothing","Jadraas_org_bags2 gITS7_tag_41_ITS4_tag_41",325679529.5,218151,8726021,436302,298414381.833333,10253076,218151,0,0,436302,298414381.833333,10253076,1308904,0,0
"92","S126","E3Humus17B",126,"E",0,1,3,"Humus","6/14/18","11/20/19","green","B",17,2.5661,2.8194,0.2533,2.23,1.9767,0.5894,22.97,77.03,"196",3146333018,132,23908,41,3,"nothing","Jadraas_org_bags3 gITS7_tag_41_ITS4_tag_41",3141684949.16667,665293637.166667,16170581,25410621.1666667,2171471879,71605018.5,0,6930249,575210662,18480372.1666667,2171471879,71605018.5,154773722.166667,582140911,575210662
"93","S128","DC7Humus5A",128,"DC",1,0,7,"Humus","6/16/17","11/21/17","blue","A",5,2.7,3.019,0.319,2.8526,2.5336,0.1664,6.16,93.84,"35",145114150,14,10075,42,1,"nothing","Jadraas_org_bags1 gITS7_tag_42_ITS4_tag_42",143918052.166667,0,15140215.6666667,3988543.66666667,109057438,8061897,560827,70103,0,3918440.66666667,109057438,8061897,2663931,70103,0
"94","S130","DC8Humus17B",130,"DC",1,0,8,"Humus","6/14/18","11/20/19","green","B",17,2.6949,2.9591,0.2642,2.35,2.0858,0.6091,22.6,77.4,"197",5079057911,78,65055,42,3,"nothing","Jadraas_org_bags3 gITS7_tag_42_ITS4_tag_42",5004498240.33333,470973349,33882974,118588572.166667,4109995846,57596552.8333333,3388297,10164892,0,108423680.166667,4109995846,57596552.8333333,166026575,10164892,0
"95","S132","E7Humus5A",132,"E",0,1,7,"Humus","6/16/17","11/21/17","blue","A",5,2.814,3.167,0.353,3.0136,2.6606,0.1534,5.45,94.55,"36",228664867,12,18484,44,1,"nothing","Jadraas_org_bags1 gITS7_tag_44_ITS4_tag_44",228243387.833333,1289091,2479021,396644,212972620.833333,6147971,297482,198322,793287,198322,212972620.833333,6147971,2677342,991609,793287
"96","S134","T7Humus5A",134,"T",1,0,7,"Humus","6/16/17","11/21/17","blue","A",5,2.907,3.273,0.366,2.8841,2.5181,0.3889,13.38,86.62,"37",89168837,9,9510,45,1,"nothing","Jadraas_org_bags1 gITS7_tag_45_ITS4_tag_45",86987341.3333333,0,2062729,766156,80563415.6666667,2475274.66666667,58935,58935,0,707221,80563415.6666667,2475274.66666667,589351,58935,0
"97","S136","T2Humus17B",136,"T",1,0,2,"Humus","6/14/18","11/20/19","green","B",17,2.8476,3.1148,0.2672,2.45,2.1828,0.6648,23.35,76.65,"198",2490791061,123,20295,45,3,"nothing","Jadraas_org_bags3 gITS7_tag_45_ITS4_tag_45",2412397616.16667,0,164395742.166667,95576715,1850402470,22937143.1666667,0,32496306.6666667,0,63080408.3333333,1850402470,22937143.1666667,227477940.5,32496306.6666667,0
"98","S138","TE7Humus5A",138,"TE",0,0,7,"Humus","6/16/17","11/21/17","blue","A",5,2.702,3.073,0.371,3.0876,2.7166,0.0146,-0.54,100.54,"38",534474144,23,23113,46,1,"nothing","Jadraas_org_bags1 gITS7_tag_46_ITS4_tag_46",534461997.333333,0,246870,18509757.5,471021850.166667,31846266,1481222,1481221,0,17028536.5,471021850.166667,31846266,5924887,1481221,0
"99","S140","T8Humus17B",140,"T",1,0,8,"Humus","6/14/18","11/20/19","green","B",17,3.0817,3.3329,0.2512,2.55,2.2988,0.7829,25.4,74.6,"199",2102609459,117,18042,46,3,"nothing","Jadraas_org_bags3 gITS7_tag_46_ITS4_tag_46",2032943544.16667,0,259181443,55074217.8333333,1129054320.16667,12959072,3239768,4857814.16666667,0,50216403.6666667,1129054320.16667,12959072,281859820,4857814.16666667,0
"100","S142","C8Humus5A",142,"C",1,1,8,"Humus","6/16/17","11/21/17","blue","A",5,2.67,3,0.33,2.8661,2.5361,0.1339,5.01,94.99,"39",98983626,7,13518,47,1,"nothing","Jadraas_org_bags1 gITS7_tag_47_ITS4_tag_47",97938494.8333333,6239088,891299,395841.5,82245234.3333333,4060360,495166,49517,5001174,346324.5,82245234.3333333,4060360,3416644,5050691,4902141
"101","S144","DC7Humus17B",144,"DC",1,0,7,"Humus","6/14/18","11/20/19","green","B",17,2.956,3.2075,0.2515,2.56,2.3085,0.6475,21.9,78.1,"200",1262474706,100,12625,47,3,"nothing","Jadraas_org_bags3 gITS7_tag_47_ITS4_tag_47",1212318971.5,0,318174596.333333,70590705.6666667,725354282.166667,12272397.8333333,0,5115376,0,65475329.6666667,725354282.166667,12272397.8333333,46038088.5,5115376,0
"102","S146","DC8Humus5A",146,"DC",1,0,8,"Humus","6/16/17","11/21/17","blue","A",5,2.878,3.247,0.369,2.5653,2.1963,0.6817,23.69,76.31,"40",40873230,13,3191,48,1,"nothing","Jadraas_org_bags1 gITS7_tag_48_ITS4_tag_48",40301616,52762,123112,1705980,36890241,281106.5,0,17587,0,1688393,36890241,281106.5,984606.5,17587,0
"103","S148","DC5Humus17B",148,"DC",1,0,5,"Humus","6/14/18","11/20/19","green","B",17,2.9842,3.2324,0.2482,2.59,2.3418,0.6424,21.53,78.47,"201",3938324402,106,36991,48,3,"nothing","Jadraas_org_bags3 gITS7_tag_48_ITS4_tag_48",3882437781.83333,954818036.666667,68027812,121477654.166667,2519458611,65597664.3333333,0,43732165,0,77745489.1666667,2519458611,65597664.3333333,99610847.6666667,43732165,0
"104","S150","E8Humus5A",150,"E",0,1,8,"Humus","6/16/17","11/21/17","blue","A",5,2.94,3.285,0.345,2.92,2.575,0.365,12.41,87.59,"41",140254216,12,11927,49,1,"nothing","Jadraas_org_bags1 gITS7_tag_49_ITS4_tag_49",139965514.666667,5149521,608580,7957767,118994398,4868637,1544856,4400499,2340691,3557268,118994398,4868637,1310788,6741190,2340691
"105","S152","C2Humus17B",152,"C",1,1,2,"Humus","6/14/18","11/20/19","green","B",17,2.7677,3.0316,0.2639,2.41,2.1461,0.6216,22.46,77.54,"202",5494230831,120,45921,49,3,"nothing","Jadraas_org_bags3 gITS7_tag_49_ITS4_tag_49",4920651327,1957946740.66667,456582442.166667,55796704,1755308728.5,248584775,228292140,0,228292139,55796704,1755308728.5,248584775,299314300.833333,228292139,228292139
"106","S154","T8Humus5A",154,"T",1,0,8,"Humus","6/16/17","11/21/17","blue","A",5,2.826,3.139,0.313,2.9485,2.6355,0.1905,6.74,93.26,"42",95707295,10,9238,50,1,"nothing","Jadraas_org_bags1 gITS7_tag_50_ITS4_tag_50",94657127.6666667,0,1505071.66666667,1875776,88170390.1666667,1177501,0,1687376,0,188400,88170390.1666667,1177501,1316963.16666667,1687376,0
"107","S156","TE3Humus17B",156,"TE",0,0,3,"Humus","6/14/18","11/20/19","green","B",17,2.9582,3.2023,0.2441,2.44,2.1959,0.7623,25.77,74.23,"203",1097188363,189,5791,50,3,"nothing","Jadraas_org_bags3 gITS7_tag_50_ITS4_tag_50",1095246234.5,0,14298719,16173432.3333333,859827546.833333,11438975,0,4757993.33333333,0,11415439,859827546.833333,11438975,142987189,4757993.33333333,0
"108","S158","TE8Humus5A",158,"TE",0,0,8,"Humus","6/16/17","11/21/17","blue","A",5,2.833,3.209,0.376,3.0121,2.6361,0.1969,6.95,93.05,"43",1030543833,15,69134,51,1,"nothing","Jadraas_org_bags1 gITS7_tag_51_ITS4_tag_51",1030043390.66667,0,26676203,9799459.83333333,960809825.333333,13103517.1666667,468004,4210194.83333333,0,5589265,960809825.333333,13103517.1666667,9826305.33333333,4210194.83333333,0
"109","S160","E7Humus17B",160,"E",0,1,7,"Humus","6/14/18","11/20/19","green","B",17,2.6779,2.9261,0.2482,1.92,1.6718,1.0061,37.57,62.43,"204",6012930917,184,32731,51,3,"nothing","Jadraas_org_bags3 gITS7_tag_51_ITS4_tag_51",5997713523.33333,1445123387.16667,156639376,277908571,3663285716.66667,50528538.1666667,15158357.5,30317298,85897827.1666667,247591273,3663285716.66667,50528538.1666667,303172987,116215125.166667,60633411.1666667
"110","S164","DC3Humus17B",164,"DC",1,0,3,"Humus","6/14/18","11/20/19","green","B",17,2.5877,2.8515,0.2638,1.91,1.6462,0.9415,36.38,63.62,"205",1461163448,106,13795,52,3,"nothing","Jadraas_org_bags3 gITS7_tag_52_ITS4_tag_52",1452401451.33333,220175314,26270918,95074223.8333333,866939402.666667,22517929,0,17513049.6666667,0,77561174.1666667,866939402.666667,22517929,198907796.666667,17513049.6666667,0
"111","S168","DC4Humus5B",168,"DC",1,0,4,"Humus","6/14/18","11/15/18","blue","B",5,2.81,3.0908,0.2808,2.4738,2.193,0.617,21.96,78.04,"206",12254821,4,3081,53,3,"nothing","Jadraas_org_bags3 gITS7_tag_53_ITS4_tag_53",11988105.8333333,393768,92073.8333333333,363116.833333333,10765894.5,124853,0,0,0,363116.833333333,10765894.5,124853,134457,0,0
"112","S172","TE8Humus5B",172,"TE",0,0,8,"Humus","6/14/18","11/15/18","blue","B",5,2.9216,3.1626,0.241,2.7831,2.5421,0.3795,12.99,87.01,"207",42589474,8,5520,54,3,"nothing","Jadraas_org_bags3 gITS7_tag_54_ITS4_tag_54",42048290.6666667,0,317487.833333333,145674.666666667,40146778.1666667,254115.833333333,29960.8333333333,0,0,145674.666666667,40146778.1666667,254115.833333333,320221,0,0
"113","S176","T6Humus5B",176,"T",1,0,6,"Humus","6/14/18","11/15/18","blue","B",5,2.8608,3.1138,0.253,2.7345,2.4815,0.3793,13.26,86.74,"208",172383911,14,12619,56,3,"nothing","Jadraas_org_bags3 gITS7_tag_56_ITS4_tag_56",170048710.666667,0,4834752.66666667,1000294,159545624.333333,333432,0,333431,0,666863,159545624.333333,333432,1667156,333431,0
"114","S180","TE4Humus5B",180,"TE",0,0,4,"Humus","6/14/18","11/15/18","blue","B",5,2.5082,2.7516,0.2434,2.4693,2.2259,0.2823,11.26,88.74,"209",44879869,11,3919,57,3,"nothing","Jadraas_org_bags3 gITS7_tag_57_ITS4_tag_57",43935649.8333333,78944,0,472769.166666667,42366851.8333333,197360,39472,0,78944,472769.166666667,42366851.8333333,197360,308425.666666667,78944,78944
"115","S184","TE7Humus5B",184,"TE",0,0,7,"Humus","6/14/18","11/15/18","blue","B",5,2.6264,2.881,0.2546,2.58953,2.33493,0.29147,11.1,88.9,"210",10986319,3,3396,58,3,"nothing","Jadraas_org_bags3 gITS7_tag_58_ITS4_tag_58",10817439.8333333,0,0,228411.666666667,8701347.16666667,1613969,0,0,0,228411.666666667,8701347.16666667,1613969,198206,0,0
"116","S188","T5Humus5B",188,"T",1,0,5,"Humus","6/14/18","11/15/18","blue","B",5,2.69,2.9408,0.2508,2.6321,2.3813,0.3087,11.48,88.52,"211",281587290,17,16308,60,3,"nothing","Jadraas_org_bags3 gITS7_tag_60_ITS4_tag_60",278096120.833333,0,1813093,1115749,269588818.666667,836812.666666667,0,278937,0,836812,269588818.666667,836812.666666667,1115749,278937,0
"117","S194","DC7Humus5B",194,"DC",1,0,7,"Humus","6/14/18","11/15/18","blue","B",5,2.6884,2.9381,0.2497,2.6589,2.4092,0.2792,10.39,89.61,"212",42656799,7,6505,63,3,"nothing","Jadraas_org_bags3 gITS7_tag_63_ITS4_tag_63",41750507.3333333,0,324559.666666667,525699,38850836.6666667,500083.166666667,25033,0,0,525699,38850836.6666667,500083.166666667,600800,0,0
"118","S198","TE1Humus5B",198,"TE",0,0,1,"Humus","6/14/18","11/15/18","blue","B",5,2.9022,3.1613,0.2591,2.8051,2.546,0.3562,12.27,87.73,"213",266509360,19,14195,65,3,"nothing","Jadraas_org_bags3 gITS7_tag_65_ITS4_tag_65",263663965.833333,0,156955,11926441.6666667,242016290.333333,627820,0,2040414,0,9886027.66666667,242016290.333333,627820,4708646,2040414,0
"119","S206","C5Humus5B",206,"C",1,1,5,"Humus","6/14/18","11/15/18","blue","B",5,3.0137,3.259,0.2453,2.6633,2.418,0.5957,19.77,80.23,"215",31481260,5,6077,67,3,"nothing","Jadraas_org_bags3 gITS7_tag_67_ITS4_tag_67",31015240.5,85819,171638,371589.166666667,29678345.8333333,255619.166666667,71516,0,0,371589.166666667,29678345.8333333,255619.166666667,71515,0,0
"120","S210","DC8Humus5B",210,"DC",1,0,8,"Humus","6/14/18","11/15/18","blue","B",5,2.9419,3.1975,0.2556,2.8999,2.6443,0.2976,10.12,89.88,"216",272930382,10,26568,68,3,"nothing","Jadraas_org_bags3 gITS7_tag_68_ITS4_tag_68",271765337.666667,128136,128136,1150222,259474230.166667,8712686.66666667,0,384409,128136,765813,259474230.166667,8712686.66666667,1025089.66666667,512545,128136
"121","S214","E8Humus5B",214,"E",0,1,8,"Humus","6/14/18","11/15/18","blue","B",5,2.6269,2.865,0.2381,2.5916,2.3535,0.2734,10.41,89.59,"217",295821100,15,19390,69,3,"nothing","Jadraas_org_bags3 gITS7_tag_69_ITS4_tag_69",294062645,0,729702,3356628,284724234.5,3940389,0,0,0,3356628,284724234.5,3940389,291881,0,0
"122","S218","TE3Humus5B",218,"TE",0,0,3,"Humus","6/14/18","11/15/18","blue","B",5,2.7792,3.0304,0.2512,2.6583,2.4071,0.3721,13.39,86.61,"218",343587746,16,20932,70,3,"nothing","Jadraas_org_bags3 gITS7_tag_70_ITS4_tag_70",340848311.833333,0,317110,2060025.16666667,329129761.166667,2852144.16666667,0,634218,0,1425807.16666667,329129761.166667,2852144.16666667,789547,634218,0
"123","S222","DC5Humus5B",222,"DC",1,0,5,"Humus","6/14/18","11/15/18","blue","B",5,3.0167,3.2579,0.2412,2.9675,2.7263,0.2904,9.63,90.37,"219",100926937,8,12862,71,3,"nothing","Jadraas_org_bags3 gITS7_tag_71_ITS4_tag_71",99802107.1666667,0,109823,494202,98046715.8333333,604025,0,0,0,494202,98046715.8333333,604025,219645,0,0
"124","S226","DC6Humus5B",226,"DC",1,0,6,"Humus","6/14/18","11/15/18","blue","B",5,2.9791,3.215,0.2359,2.8687,2.6328,0.3463,11.62,88.38,"220",151737622,11,13428,72,3,"nothing","Jadraas_org_bags3 gITS7_tag_72_ITS4_tag_72",149105846.333333,0,2801696.5,1927383,140260347.833333,438041,0,0,0,1927383,140260347.833333,438041,2276650.33333333,0,0
"125","S230","DC3Humus5B",230,"DC",1,0,3,"Humus","6/14/18","11/15/18","blue","B",5,2.7503,3.0185,0.2682,2.7382,2.47,0.2803,10.19,89.81,"221",74288881,8,9823,73,3,"nothing","Jadraas_org_bags3 gITS7_tag_73_ITS4_tag_73",73687056.1666667,59670,238679,775126.166666667,70230753.1666667,831702.333333333,0,358019,59670,417107.166666667,70230753.1666667,831702.333333333,536736.5,417689,59670
"126","S234","C6Humus5B",234,"C",1,1,6,"Humus","6/14/18","11/15/18","blue","B",5,2.8841,3.126,0.2419,2.5528,2.3109,0.5732,19.87,80.13,"222",73696926,7,11165,74,3,"nothing","Jadraas_org_bags3 gITS7_tag_74_ITS4_tag_74",72827070,545690,172324,899876.666666667,69176112.8333333,1056856,0,0,57441,899876.666666667,69176112.8333333,1056856,545691,57441,57441
"127","S238","E7Humus5B",238,"E",0,1,7,"Humus","6/14/18","11/15/18","blue","B",5,2.7317,2.9888,0.2571,2.6489,2.3918,0.3399,12.44,87.56,"223",534217584,23,23569,75,3,"nothing","Jadraas_org_bags3 gITS7_tag_75_ITS4_tag_75",530166896.333333,1052645,876913.166666667,1754409.66666667,509827690,13508951,0,175441,1052645,1578968.66666667,509827690,13508951,1403527,1228086,1052645
"128","S244","TE5Humus5B",244,"TE",0,0,5,"Humus","6/14/18","11/15/18","blue","B",5,3.0329,3.2991,0.2662,2.9417,2.6755,0.3574,11.78,88.22,"224",120360430,14,8699,77,3,"nothing","Jadraas_org_bags3 gITS7_tag_77_ITS4_tag_77",118619136.833333,0,130497,1825102.16666667,115090816.166667,391488,0,130496,0,1694606.16666667,115090816.166667,391488,521691.5,130496,0
"129","S248","E6Humus5B",248,"E",0,1,6,"Humus","6/14/18","11/15/18","blue","B",5,2.8466,3.0951,0.2485,2.7595,2.511,0.3356,11.79,88.21,"225",71093168,6,11177,78,3,"nothing","Jadraas_org_bags3 gITS7_tag_78_ITS4_tag_78",70483065.5,28923,1212935.16666667,433846.666666667,67448846,432973.666666667,0,57846,0,376000.666666667,67448846,432973.666666667,347079,57846,0
"130","S252","E2Humus5B",252,"E",0,1,2,"Humus","6/14/18","11/15/18","blue","B",5,2.5319,2.7782,0.2463,2.3177,2.0714,0.4605,18.19,81.81,"226",58888882,6,9692,79,3,"nothing","Jadraas_org_bags3 gITS7_tag_79_ITS4_tag_79",58413675.8333333,198949,74606,820665,56327418,273556,49738,0,124343,820665,56327418,273556,74607,124343,0
"131","S260","T7Humus5B",260,"T",1,0,7,"Humus","6/14/18","11/15/18","blue","B",5,2.5503,2.795,0.2447,2.5102,2.2655,0.2848,11.17,88.83,"228",273630991,13,20935,81,3,"nothing","Jadraas_org_bags3 gITS7_tag_81_ITS4_tag_81",268834157.833333,0,8788149,498743.166666667,222699674.666667,33554749,299596,99865,0,398878.166666667,222699674.666667,33554749,798922,99865,0
"132","S264","E1Humus5B",264,"E",0,1,1,"Humus","6/14/18","11/15/18","blue","B",5,3.0308,3.2977,0.2669,2.9459,2.679,0.3518,11.61,88.39,"229",269692357,11,24385,82,3,"nothing","Jadraas_org_bags3 gITS7_tag_82_ITS4_tag_82",268387880,93029,2232707,2603928.66666667,258527659.333333,3442089,0,930294,93029,1673634.66666667,258527659.333333,3442089,0,1023323,93029
"133","S268","C7Humus5B",268,"C",1,1,7,"Humus","6/14/18","11/15/18","blue","B",5,2.712,2.9671,0.2551,2.6987,2.4436,0.2684,9.9,90.1,"230",40939894,4,11634,83,3,"nothing","Jadraas_org_bags3 gITS7_tag_83_ITS4_tag_83",40308018.3333333,22286,88853.5,222280.166666667,36677418.8333333,2451490,445725,0,22286,222280.166666667,36677418.8333333,2451490,646010.166666667,22286,22286
"134","S272","C3Humus5B",272,"C",1,1,3,"Humus","6/14/18","11/15/18","blue","B",5,2.8371,3.1245,0.2874,2.8552,2.5678,0.2693,9.49,90.51,"231",144695669,9,16675,84,3,"nothing","Jadraas_org_bags3 gITS7_tag_84_ITS4_tag_84",142423915.5,55291,2488080,771940.333333333,130705294.166667,5363197,165873,0,0,771940.333333333,130705294.166667,5363197,1492846.66666667,0,0
"135","S276","T2Humus5B",276,"T",1,0,2,"Humus","6/14/18","11/15/18","blue","B",5,2.982,3.2507,0.2687,2.9456,2.6769,0.3051,10.23,89.77,"232",229876086,13,17384,85,3,"nothing","Jadraas_org_bags3 gITS7_tag_85_ITS4_tag_85",223998757.5,87605,608712.166666667,438025,218311301.666667,1314078,0,0,87605,438025,218311301.666667,1314078,1839709,87605,87605
"136","S279","C1Humus5B",279,"C",1,1,1,"Humus","6/14/18","11/15/18","blue","B",5,2.7687,3.0283,0.2596,2.5208,2.2612,0.5075,18.33,81.67,"233",107828328,8,13590,86,3,"nothing","Jadraas_org_bags3 gITS7_tag_86_ITS4_tag_86",106828988.5,232765,698294.666666667,4189767,99738852.3333333,698295,58191,232765,58191,3957002,99738852.3333333,698295,287728,290956,58191
"137","S282","C4Humus5B",282,"C",1,1,4,"Humus","6/14/18","11/15/18","blue","B",5,2.5053,2.777,0.2717,2.497,2.2253,0.28,11.18,88.82,"234",33620578,4,7970,87,3,"nothing","Jadraas_org_bags3 gITS7_tag_87_ITS4_tag_87",33118733.5,45048,269994.5,481178.666666667,30164793.6666667,1318664.83333333,30032,12684.3333333333,15016,468494.333333333,30164793.6666667,1318664.83333333,375398,27700.3333333333,15016
"138","S285","T8Humus5B",285,"T",1,0,8,"Humus","6/14/18","11/15/18","blue","B",5,2.8845,3.1371,0.2526,2.8252,2.5726,0.3119,10.81,89.19,"235",42337779,7,5906,88,3,"nothing","Jadraas_org_bags3 gITS7_tag_88_ITS4_tag_88",37894672.3333333,0,669295.666666667,343628.166666667,33174955.3333333,1548942.66666667,0,19123,0,324505.166666667,33174955.3333333,1548942.66666667,1281225,19123,0
"139","S288","E3Humus5B",288,"E",0,1,3,"Humus","6/14/18","11/15/18","blue","B",5,2.5031,2.7738,0.2707,2.5121,2.2414,0.2617,10.46,89.54,"236",72133301,9,7657,89,3,"nothing","Jadraas_org_bags3 gITS7_tag_89_ITS4_tag_89",71803558.6666667,952779,119097,628844,65501709.1666667,1746762,0,39699,913080,589145,65501709.1666667,1746762,1466736.66666667,952779,913080
"140","S291","C2Humus5B",291,"C",1,1,2,"Humus","6/14/18","11/15/18","blue","B",5,2.8206,3.0944,0.2738,2.3695,2.0957,0.7249,25.7,74.3,"237",2745458,2,1295,90,3,"nothing","Jadraas_org_bags3 gITS7_tag_90_ITS4_tag_90",2686471.16666667,9411,16133,5378,2581136.5,20166,1344,0,4033,5378,2581136.5,20166,33319.5,4033,4033
"141","S294","TE2Humus5B",294,"TE",0,0,2,"Humus","6/14/18","11/15/18","blue","B",5,2.9999,3.2506,0.2507,2.9058,2.6551,0.3448,11.49,88.51,"238",1007486420,21,48880,91,3,"nothing","Jadraas_org_bags3 gITS7_tag_91_ITS4_tag_91",1005969815.83333,0,0,1513311,984786764,10589877.8333333,0,0,0,1513311,984786764,10589877.8333333,5296586,0,0
"142","S298","T1Humus5B",298,"T",1,0,1,"Humus","6/14/18","11/15/18","blue","B",5,2.8194,3.0737,0.2543,2.7344,2.4801,0.3393,12.03,87.97,"239",404804798,20,20330,93,3,"nothing","Jadraas_org_bags3 gITS7_tag_93_ITS4_tag_93",393808124.166667,0,3059592.5,1259952,378882095.333333,1079959,0,0,0,1259952,378882095.333333,1079959,4138948.66666667,0,0
"143","S301","TE6Humus5B",301,"TE",0,0,6,"Humus","6/14/18","11/15/18","blue","B",5,2.8588,3.1064,0.2476,2.7395,2.4919,0.3669,12.83,87.17,"240",278409079,21,13268,94,3,"nothing","Jadraas_org_bags3 gITS7_tag_94_ITS4_tag_94",274922885.833333,0,517489,9831998.16666667,253190481.5,2242452,0,1034978,0,8797020.16666667,253190481.5,2242452,2932438,1034978,0
"144","S304","C8Humus5B",304,"C",1,1,8,"Humus","6/14/18","11/15/18","blue","B",5,2.7956,3.0556,0.26,2.772,2.512,0.2836,10.14,89.86,"241",45524859,5,9598,95,3,"nothing","Jadraas_org_bags3 gITS7_tag_95_ITS4_tag_95",45162710.8333333,99096,39639,257649,43206005,930610.666666667,0,39639,99096,218010,43206005,930610.666666667,297288,138735,99096
"145","S307","C1Humus17A",307,"C",1,1,1,"Humus","6/16/17","11/21/18","green","A",17,3.301,3.5618,0.2608,2.864,2.6032,0.6978,21.14,78.86,"86",1390835605,32,43734,97,1,"nothing","Jadraas_org_bags1 gITS7_tag_97_ITS4_tag_97",1389884217.16667,942940,6600575,9429394,1331897925.83333,28288182,0,942939,471470,8486455,1331897925.83333,28288182,4714696,1414409,0
"146","S308","T3Humus5B",308,"T",1,0,3,"Humus","6/14/18","11/15/18","blue","B",5,2.9981,3.2598,0.2617,2.9246,2.6629,0.3352,11.18,88.82,"242",143212393,9,15381,97,3,"nothing","Jadraas_org_bags3 gITS7_tag_97_ITS4_tag_97",141630413,0,435166.166666667,1622864.5,133458299.5,3308742,0,249716,0,1373148.5,133458299.5,3308742,560024.166666667,249716,0
"147","S310","T4Humus5B",310,"T",1,0,4,"Humus","6/14/18","11/15/18","blue","B",5,2.6333,2.9304,0.2971,2.6497,2.3526,0.2807,10.66,89.34,"243",106036276,8,13704,98,3,"nothing","Jadraas_org_bags3 gITS7_tag_98_ITS4_tag_98",104864725.333333,0,1615449,1660030.5,98493546.5,1525703,134621,0,0,1660030.5,98493546.5,1525703,224368,0,0
"148","S312","DC1Humus5B",312,"DC",1,0,1,"Humus","6/14/18","11/15/18","blue","B",5,3.0923,3.3456,0.2533,2.9995,2.7462,0.3461,11.19,88.81,"244",29078085,5,6427,99,3,"nothing","Jadraas_org_bags3 gITS7_tag_99_ITS4_tag_99",28457645.5,0,201173.5,384302.166666667,27023450.1666667,382844.833333333,167887,16789,0,367513.166666667,27023450.1666667,382844.833333333,151098.666666667,16789,0
"149","S314","E5Humus5B",314,"E",0,1,5,"Humus","6/14/18","11/15/18","blue","B",5,2.5146,2.7732,0.2586,2.4469,2.1883,0.3263,12.98,87.02,"245",41904180,6,6997,100,3,"nothing","Jadraas_org_bags3 gITS7_tag_100_ITS4_tag_100",41599879.8333333,75469,75177.5,528283,39638271.1666667,528283,18867,0,0,528283,39638271.1666667,528283,264142,0,0
"150","S316","DC2Humus5B",316,"DC",1,0,2,"Humus","6/14/18","11/15/18","blue","B",5,3.0921,3.3745,0.2824,2.6464,2.364,0.7281,23.55,76.45,"246",255492539,21,12164,101,3,"nothing","Jadraas_org_bags3 gITS7_tag_101_ITS4_tag_101",250067526.166667,0,6965100.66666667,4432337,220317475.833333,3163290,842485.333333333,422127,0,4010210,220317475.833333,3163290,11818107.6666667,422127,0
