scata	Taxon	Sci_Name	Rank	mock	Kingdom	Phylum	Subphylum	Class	Order	Family	Genus	Species	abbrev	taxon_notes	guild	emf	primary_lifestyle_phylum	Decay_type	Decay_Lifestyle	guild_notes	reference
scata4703_540	Fungi_sp	Fungi_sp	729	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_544			730	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_546			731	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_553			732	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_556			733	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_557			734	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_560			735	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_562	Trebouxia_jamesii	Trebouxia_jamesii	736	FALSE	Plantae										unknown	0	unknown	other			
scata4703_563			737	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_565			738	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_568	Fungi_sp	Fungi_sp	739	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_569			740	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_572			741	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_573	Russula_adusta	Russula_adusta	742	FALSE	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Russulales	Russulaceae	Russula	adusta			ectomycorrhizas other	1	ectomycorrhizal basidiomycota	other	ectomycorrhizal_basidiomycetes		
scata4703_574	Ascomycota_sp	Ascomycota_sp	743	FALSE	Fungi	Ascomycota									unknown	0	unknown	other	unknown_ascomycetes		
scata4703_575			744	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_580	Cercozoa sp.	Cercozoa_sp.	745	FALSE	NF										unknown	0	unknown	other	unknown		
scata4703_584			746	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_585			747	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_590			748	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_594	Phaeotheca_sp	Phaeotheca_sp	749	FALSE	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes			Phaeotheca				unknown	0	unknown	other	litter_ascomycetes		
scata4703_601			750	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_603			751	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_606			752	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_611			753	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_614			754	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_615			755	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_620			756	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_622			757	FALSE	NF										unknown	0	unknown	other	unknown		
scata4703_625			758	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_629	Fungi_sp	Fungi_sp	759	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_630			760	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_632	Ascomycota_sp	Ascomycota_sp	761	FALSE	Fungi	Ascomycota									unknown	0	unknown	other	unknown_ascomycetes		
scata4703_636			762	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_638			763	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_644	Ericaceae_sp	Ericaceae_sp	764	FALSE	Plantae					Ericaceae					plants	0	plants 	other			
scata4703_645			765	FALSE	NF										unknown	0	unknown	other	unknown		
scata4703_647			766	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_649			767	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_654			768	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_657			769	FALSE	Plantae										unknown	0	unknown	other	unknown		
scata4703_658	Stropharia_aeruginosa	Stropharia_aeruginosa	770	FALSE	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	aeruginosa			saprotrophs other	0	litter saprotrophic basidiomycota	other	litter_basidiomycetes		
scata4703_660	Vaccinium_sp	Vaccinium_sp	771	FALSE	Plantae						Vaccinium				plants	0	plants 	other			
scata4703_661			772	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_666			773	FALSE	NF										unknown	0	unknown	other	unknown		
scata4703_677			774	FALSE	NF										unknown	0	unknown	other	unknown		
scata4703_684			775	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_694			776	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_695	Cortinarius_subparvannulatus	Cortinarius_subparvannulatus	777	FALSE	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	subparvannulatus			ectomycorrhizas white rot	1	ectomycorrhizal basidiomycota	white rot	white_rot_ectomycorrhizal_basidiomycetes		
scata4703_696			778	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_699	Fungi_sp	Fungi_sp	779	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_700			780	FALSE	Fungi										unknown	0	unknown	other	unknown		
scata4703_702			781	FALSE	Fungi										unknown	0	unknown	other	unknown		
